,Interest,RepaymentPeriod,LoanAmount,EmployerName,InstallmentAmount,Boundery,LoanTypeName,YoB
828,1.15,72,307625.0,1,4272.569444444444,1,10,1988.0
829,1.25,48,224000.0,1,4666.666666666667,1,20,1988.0
830,1.0,12,29000.0,1,2416.6666666666665,1,2,1988.0
831,1.25,48,102000.0,1,2125.0,1,20,1992.0
832,1.25,72,654750.0,1,9093.75,1,11,1992.0
833,1.25,48,213000.0,1,4437.5,1,20,1957.0
834,1.15,36,130000.0,1,3611.1111111111113,1,10,1984.0
835,1.15,30,86000.0,1,2866.6666666666665,1,17,1980.0
836,1.0,12,20000.0,1,1666.6666666666667,1,16,1980.0
837,1.0,12,80000.0,1,6666.666666666667,1,16,1986.0
838,1.15,36,616650.0,1,17129.166666666668,1,10,1986.0
839,1.25,48,458000.0,1,9541.666666666666,1,20,1990.0
840,1.0,12,42000.0,1,3500.0,1,16,1990.0
841,10.0,1,10000.0,1,10000.0,1,9,1990.0
842,1.25,72,127582.0,1,1771.9722222222222,1,11,1986.0
843,10.0,1,7000.0,1,7000.0,1,7,1986.0
844,1.0,30,90000.0,1,3000.0,1,18,1986.0
845,10.0,1,5000.0,1,5000.0,1,9,1986.0
846,1.25,48,50000.0,1,1041.6666666666667,1,20,1986.0
847,1.25,72,211250.0,1,2934.027777777778,1,11,1986.0
848,1.0,12,45000.0,1,3750.0,1,16,1986.0
849,1.25,48,175000.0,1,3645.8333333333335,1,20,1986.0
851,1.0,30,45000.0,1,1500.0,1,18,1986.0
852,1.0,12,20000.0,1,1666.6666666666667,1,2,1986.0
853,1.0,30,250000.0,1,8333.333333333334,1,18,1983.0
854,1.15,36,600000.0,1,16666.666666666668,1,10,1986.0
855,1.0,30,70000.0,1,2333.3333333333335,1,18,1986.0
856,1.0,12,20000.0,1,1666.6666666666667,1,16,1960.0
857,1.15,72,58011.0,1,805.7083333333334,1,10,1986.0
858,1.15,72,369162.0,1,5127.25,1,10,1986.0
859,1.0,12,50000.0,1,4166.666666666667,1,2,1986.0
860,1.0,12,120000.0,1,10000.0,1,2,1986.0
861,1.25,48,300000.0,1,6250.0,1,20,1986.0
862,1.25,72,327375.0,1,4546.875,1,11,1986.0
863,1.25,72,127159.0,1,1766.0972222222222,1,11,1986.0
864,1.0,12,10614.0,1,884.5,1,2,1983.0
865,10.0,1,12000.0,1,12000.0,1,7,1983.0
866,1.0,12,17000.0,1,1416.6666666666667,1,16,1983.0
867,10.0,1,6000.0,1,6000.0,1,9,1983.0
868,1.0,30,360000.0,1,12000.0,1,18,1983.0
869,1.25,30,100000.0,1,3333.3333333333335,1,20,1976.0
871,1.0,30,160000.0,1,5333.333333333333,1,18,1986.0
872,1.0,30,127000.0,1,4233.333333333333,1,4,1982.0
873,1.25,48,207828.0,1,4329.75,1,11,1982.0
883,1.15,84,223388.0,1,2659.3809523809523,1,10,1984.0
884,1.0,48,378000.0,1,7875.0,1,10,1958.0
885,1.15,84,276575.0,1,3292.559523809524,1,10,1986.0
886,1.15,62,680712.0,1,10979.225806451614,1,10,1980.0
887,10.0,1,9000.0,1,9000.0,1,7,1990.0
888,1.0,12,60000.0,1,5000.0,1,2,1986.0
889,1.0,30,200000.0,1,6666.666666666667,1,18,1986.0
890,1.15,84,197212.0,1,2347.7619047619046,1,10,1987.0
891,10.0,1,8600.0,1,8600.0,1,9,1986.0
892,10.0,1,7200.0,1,7200.0,1,9,1986.0
893,1.25,72,212186.0,1,2947.027777777778,1,11,1986.0
894,10.0,1,1000.0,1,1000.0,1,9,1986.0
895,1.0,20,95000.0,1,4750.0,1,6,1986.0
896,1.0,10,20000.0,1,2000.0,1,2,1986.0
897,1.0,30,258000.0,1,8600.0,1,18,1985.0
898,1.25,72,411833.0,1,5719.902777777777,1,11,1985.0
899,1.25,48,415000.0,1,8645.833333333334,1,20,1985.0
900,10.0,1,5000.0,1,5000.0,1,7,1981.0
901,1.15,84,199705.0,1,2377.440476190476,1,10,1986.0
902,1.0,12,90000.0,1,7500.0,1,2,1955.0
903,1.15,84,212750.0,1,2532.7380952380954,1,10,1982.0
904,1.0,30,300000.0,1,10000.0,1,18,1981.0
905,1.0,12,25000.0,1,2083.3333333333335,1,16,1981.0
907,1.0,30,85000.0,1,2833.3333333333335,1,18,1986.0
908,1.25,72,272812.0,1,3789.0555555555557,1,11,1980.0
909,1.0,30,130000.0,1,4333.333333333333,1,18,1980.0
